Individual;rdf:type;dbc:bitLenght;dbc:bitStart;dbc:signed;qudt:byteOrder;qudt:conversionMultiplier;qudt:conversionOffset;qudt:maxInclusive;qudt:minInclusive
FuelTank01Encoding;dbc:SignalEncoding;16;0;False;LittleEndian;1.0;0;65535.0;0.0
FuelTank02Encoding;dbc:SignalEncoding;16;16;False;LittleEndian;1.0;0;65535.0;0.0
FuelTank05Encoding;dbc:SignalEncoding;16;32;False;LittleEndian;1.0;0;65535.0;0.0
FuelTank06Encoding;dbc:SignalEncoding;16;48;False;LittleEndian;1.0;0;65535.0;0.0
FuelTank07Encoding;dbc:SignalEncoding;16;0;False;LittleEndian;1.0;0;65535.0;0.0
FuelTank08Encoding;dbc:SignalEncoding;16;16;False;LittleEndian;1.0;0;65535.0;0.0
FuelTank15Encoding;dbc:SignalEncoding;16;32;False;LittleEndian;1.0;0;65535.0;0.0
BilgeWaterTank12Encoding;dbc:SignalEncoding;16;48;False;LittleEndian;1.0;0;65535.0;0.0
FreshwaterTank14Encoding;dbc:SignalEncoding;16;0;False;LittleEndian;1.0;0;65535.0;0.0
InclinationEncoding;dbc:SignalEncoding;16;16;True;LittleEndian;1.0;0;32767.0;-32768.0
EngineRoomTemperatureEncoding;dbc:SignalEncoding;16;32;False;LittleEndian;1.0;0;65535.0;0.0
FirePumpPressureEncoding;dbc:SignalEncoding;16;48;False;LittleEndian;0.1;0;6553.5;0.0
PortEngineAlternatorCurrentEncoding;dbc:SignalEncoding;16;0;False;LittleEndian;1.0;0;65535.0;0.0
PortGearboxLubOilTemperatureEncoding;dbc:SignalEncoding;16;16;False;LittleEndian;1.0;0;65535.0;0.0
StarboardEngineAlternatorCurrentEncoding;dbc:SignalEncoding;16;32;False;LittleEndian;1.0;0;65535.0;0.0
StarboardGearboxLubOilTemperatureEncoding;dbc:SignalEncoding;16;48;False;LittleEndian;1.0;0;65535.0;0.0
AutomationBatteryVoltageEncoding;dbc:SignalEncoding;16;0;True;LittleEndian;0.1;0;3276.7;-3276.8
AutomationBatteryCurrentEncoding;dbc:SignalEncoding;16;16;True;LittleEndian;0.1;0;3276.7;-3276.8
BridgeBatteryVoltageEncoding;dbc:SignalEncoding;16;32;True;LittleEndian;0.1;0;3276.7;-3276.8
BridgeBatteryCurrentEncoding;dbc:SignalEncoding;16;48;True;LittleEndian;0.1;0;3276.7;-3276.8
FuelTotalEncoding;dbc:SignalEncoding;16;0;False;LittleEndian;1.0;0;65535.0;0.0
StarboardFanRotationSpeedEncoding;dbc:SignalEncoding;16;16;False;LittleEndian;1.0;0;65535.0;0.0
PortFanRotationSpeedEncoding;dbc:SignalEncoding;16;32;False;LittleEndian;1.0;0;65535.0;0.0
ShoreConnectionCurrentL1Encoding;dbc:SignalEncoding;16;0;False;LittleEndian;0.1;0;6553.5;0.0
ShoreConnectionCurrentL2Encoding;dbc:SignalEncoding;16;16;False;LittleEndian;0.1;0;6553.5;0.0
ShoreConnectionCurrentL3Encoding;dbc:SignalEncoding;16;32;False;LittleEndian;0.1;0;6553.5;0.0
ShoreConnectionActivePowerEncoding;dbc:SignalEncoding;16;48;False;LittleEndian;1.0;0;65535.0;0.0
ShoreConnectionConsumptionEncoding;dbc:SignalEncoding;32;0;False;LittleEndian;1.0;0;4294967295.0;0.0
ShoreConnectionVoltageEncoding;dbc:SignalEncoding;16;32;False;LittleEndian;1.0;0;65535.0;0.0
ShoreConnectionFrequencyEncoding;dbc:SignalEncoding;16;48;False;LittleEndian;0.1;0;6553.5;0.0
LargeAuxDieselEnginePowerEncoding;dbc:SignalEncoding;16;0;False;LittleEndian;1.0;0;65535.0;0.0
LargeAuxDieselEngineLoadEncoding;dbc:SignalEncoding;16;16;False;LittleEndian;1.0;0;65535.0;0.0
LargeAuxDieselEngineCurrentL1Encoding;dbc:SignalEncoding;16;32;False;LittleEndian;0.1;0;6553.5;0.0
LargeAuxDieselEngineCurrentL2Encoding;dbc:SignalEncoding;16;48;False;LittleEndian;0.1;0;6553.5;0.0
LargeAuxDieselEngineCurrentL3Encoding;dbc:SignalEncoding;16;0;False;LittleEndian;0.1;0;6553.5;0.0
LargeAuxDieselEngineVoltageEncoding;dbc:SignalEncoding;16;16;False;LittleEndian;1.0;0;65535.0;0.0
LargeAuxDieselEngineFrequencyEncoding;dbc:SignalEncoding;16;32;False;LittleEndian;0.1;0;6553.5;0.0
SmallAuxDieselEnginePowerEncoding;dbc:SignalEncoding;16;0;False;LittleEndian;1.0;0;65535.0;0.0
SmallAuxDieselEngineLoadEncoding;dbc:SignalEncoding;16;16;False;LittleEndian;1.0;0;65535.0;0.0
SmallAuxDieselEngineCurrentL1Encoding;dbc:SignalEncoding;16;32;False;LittleEndian;0.1;0;6553.5;0.0
SmallAuxDieselEngineCurrentL2Encoding;dbc:SignalEncoding;16;48;False;LittleEndian;0.1;0;6553.5;0.0
SmallAuxDieselEngineCurrentL3Encoding;dbc:SignalEncoding;16;0;False;LittleEndian;0.1;0;6553.5;0.0
SmallAuxDieselEngineVoltageEncoding;dbc:SignalEncoding;16;16;False;LittleEndian;1.0;0;65535.0;0.0
